,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3501840116,1,8,1,-37.8158343,145.04645,-37.8003038,144.9718336,7448.0,2018-02-01,01:17:26,2156.8199999999993,1:53:22,23.46
ID1393121718,0,5,7,-37.7996144,144.9327719,-37.8618349,144.905716,12392.0,2018-06-22,14:09:42,3896.5200000000013,15:14:38,11.38
ID1314878251,0,6,3,-37.7907967,144.985865,-37.8118185,144.9751816,2988.0,2018-07-06,08:23:47,852.7799999999997,8:37:59,2.82
ID1404486339,0,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15150.2,2018-03-05,12:20:20,4911.599999999998,13:42:11,14.8
ID5960060344,2,5,6,-37.8094262,144.9288648,-37.7874421,144.9804091,6687.7,2018-04-26,12:20:43,1728.3600000000006,12:49:31,136.46
ID1398399581,0,7,2,-37.8618349,144.905716,-37.8201771,144.9427589,9446.0,2018-05-28,14:38:52,3226.440000000001,15:32:38,11.21
ID3428249873,1,9,1,-38.1109156,144.6541725,-37.8180368,144.964893,43592.1,2018-01-14,12:19:07,10497.95999999999,15:14:04,58.99
ID5261176554,2,1,7,-37.8116636,144.9652288,-37.8618349,144.905716,8478.0,2018-07-15,19:26:16,2926.74,20:15:02,224.6
ID5670774661,2,8,1,-37.8158343,145.04645,-37.8138929,144.9592399,8062.0,2018-04-23,16:43:20,2325.779999999999,17:22:05,176.02
ID1308823166,0,7,3,-37.8618349,144.905716,-37.8169759,144.9693762,7911.0,2018-06-06,10:53:58,2754.4199999999996,11:39:52,4.73
ID3780031863,1,7,1,-37.8618349,144.905716,-37.8131968,144.9512921,9079.0,2018-01-07,15:31:34,3058.8599999999988,16:22:32,26.61
ID1436170383,0,3,6,-37.8163996,144.9825983,-37.7874421,144.9804091,3545.0,2018-03-12,20:45:09,908.4600000000003,21:00:17,7.13
ID1804119838,0,1,8,-37.8121742,144.9381852,-37.807202,145.0266373,9174.5,2018-04-23,00:01:20,2341.56,0:40:21,15.91
ID1421834807,0,2,9,-37.8152489,144.9277273,-38.1109156,144.6541725,44331.0,2018-06-12,09:59:38,10657.8,12:57:15,18.26
ID1386218520,0,2,7,-37.8210947,144.9268047,-37.8618349,144.905716,10741.0,2018-02-06,16:07:14,3513.6000000000004,17:05:47,12.02
ID3202577609,1,4,7,-37.8023074,144.9972956,-37.8618349,144.905716,11508.0,2018-07-08,17:33:46,3736.920000000001,18:36:02,30.1
ID3746013283,1,7,8,-37.8618349,144.905716,-37.807202,145.0266373,13986.0,2018-07-08,13:07:29,4292.399999999998,14:19:01,29.53
ID3189951976,1,5,2,-37.8163702,144.9286073,-37.822171,144.9500743,3230.0,2018-02-21,19:43:54,742.1999999999996,19:56:16,12.43
ID1996539778,0,3,2,-37.8223726,144.9835773,-37.8244182,144.948369,3543.0,2018-06-09,20:46:35,766.3199999999999,20:59:21,11.93
ID1447619795,0,4,6,-37.8034291,145.0029696,-37.7907967,144.985865,3025.0,2018-03-25,07:23:40,830.3999999999999,7:37:30,7.4
ID5851533409,2,2,2,-37.8158343,145.04645,-37.8128407,144.9398968,9719.0,2018-07-10,20:39:32,2756.9999999999986,21:25:29,204.54
