,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
0,ID1717434181,0,3,1,-37.818138,144.96921030000001,-37.801460799999994,144.9581615,2688.0,2018-02-22,08:04:10,668.4,8:15:18,5.44
1,ID1773039045,0,1,2,-37.8131243,144.9401031,-37.8189705,144.9465947,1085.0,2018-01-02,23:21:27,268.56,23:25:55,10.92
2,ID1239989104,0,6,9,-37.7874325,144.9803767,-38.1109156,144.65417250000002,47033.0,2018-06-10,05:35:50,11350.5,8:45:00,34.64
3,ID5826371523,2,1,8,-37.81797520000001,144.95120669999997,-37.8158343,145.04645,8909.0,2018-02-14,07:33:23,2464.9800000000005,8:14:27,160.91
4,ID1551372482,0,6,1,-37.7907967,144.985865,-37.814852200000004,144.9450096,5321.0,2018-02-16,17:39:40,1505.8200000000006,18:04:45,9.47
5,ID1525565853,0,6,4,-37.7908183,144.9857929,-37.7999953,145.0149822,4027.0,2018-07-02,12:20:54,1048.74,12:38:22,10.78
6,ID5300837563,2,6,4,-37.773845,144.9836895,-37.807224299999994,144.9924968,5625.0,2018-04-18,03:47:20,1230.7800000000007,4:07:50,104.27
7,ID3453003606,1,2,4,-37.81250429999999,144.93746330000002,-37.800740399999995,145.0101478,7593.0,2018-01-16,08:47:53,2012.04,9:21:25,11.18
8,ID1930683788,0,6,2,-37.7738026,144.98364660000001,-37.8196513,144.9441873,9818.0,2018-04-24,20:30:24,3050.459999999998,21:21:14,13.42
9,ID1451781723,0,1,6,-37.8164357,144.9458352,-37.7874325,144.9803767,5261.0,2018-03-18,13:04:38,1286.1,13:26:04,13.05
10,ID1587628765,0,3,9,-37.80970670000001,144.99304540000003,-38.1109156,144.65417250000002,46300.0,2018-06-28,23:17:52,11145.419999999998,2:23:37,15.81
11,ID5943051966,2,5,9,-37.806396899999996,144.9322957,-38.1109156,144.65417250000002,43561.0,2018-04-24,17:20:13,10433.16,20:14:06,652.96
12,ID1270653344,0,6,1,-37.7907967,144.985865,-37.8094869,144.9482517,5040.0,2018-03-08,19:42:42,1434.5399999999993,20:06:36,8.56
13,ID3982060958,1,1,4,-37.8038433,144.9533741,-37.815816,145.0100129,5762.0,2018-02-15,08:18:07,1283.94,8:39:30,9.61
14,ID1953348926,0,5,7,-37.804394099999996,144.92924519999997,-37.8618349,144.90571599999998,11304.0,2018-04-18,19:16:27,3630.72,20:16:57,13.39
15,ID3771257518,1,1,4,-37.8209749,144.957758,-37.8011463,145.0079136,6063.0,2018-04-10,22:45:15,1537.14,23:10:52,18.42
16,ID3336991465,1,4,2,-37.810717700000005,145.0023388,-37.8244894,144.94609690000001,5754.0,2018-04-14,17:47:13,1520.2800000000007,18:12:33,18.19
17,ID3835891444,1,8,2,-37.807202000000004,145.0266373,-37.81250429999999,144.93746330000002,8964.0,2018-04-14,14:17:26,2257.5599999999977,14:55:03,19.22
18,ID3549644834,1,9,2,-38.1109156,144.65417250000002,-37.8220185,144.935452,43268.0,2018-03-22,23:47:38,10433.219999999992,2:41:31,24.71
19,ID5324436983,2,4,5,-37.799080100000005,144.9891289,-37.8044762,144.9172294,7534.0,2018-06-02,00:18:53,2035.14,0:52:48,162.53
20,ID1114213627,0,7,1,-37.8618349,144.90571599999998,-37.8031529,144.93673049999998,10853.0,2018-03-07,14:47:19,3553.02,15:46:32,13.2
21,ID3430463016,1,5,3,-37.808865399999995,144.9291692,-37.813413700000005,144.9894306,5983.0,2018-02-03,01:57:04,1495.02,2:21:59,21.86
22,ID1602053110,0,7,5,-37.8618349,144.90571599999998,-37.8063815,144.93770800000001,10500.0,2018-06-06,17:18:24,3469.2599999999993,18:16:13,7.225
23,ID5865420856,2,1,4,-37.8045134,144.96317480000002,-37.802285299999994,145.00331709999998,4058.0,2018-03-13,10:32:59,1066.5000000000002,10:50:45,76.19
24,ID5401456083,2,5,7,-37.814957899999996,144.9275311,-37.8618349,144.90571599999998,11804.0,2018-06-15,07:51:00,3797.700000000001,8:54:17,242.34
25,ID1401833204,0,4,9,-37.7990794,145.00120049999998,-38.1109156,144.65417250000002,47827.0,2018-03-09,04:56:32,11576.1,8:09:28,32.49
26,ID1291364014,0,8,2,-37.807202000000004,145.0266373,-37.813522999999996,144.941156,8323.0,2018-02-20,08:00:38,2072.939999999999,8:35:10,6.11
27,ID1509752164,0,6,1,-37.7907967,144.985865,-37.8096867,144.947529,5126.0,2018-04-19,07:09:56,1455.5399999999993,7:34:11,7.72
28,ID3675993006,1,6,9,-37.773845,144.9836895,-38.1109156,144.65417250000002,48197.0,2018-04-23,19:57:26,11519.399999999998,23:09:25,49.88
29,ID1911395607,0,8,1,-37.807202000000004,145.0266373,-37.820493299999995,144.9487358,8040.0,2018-05-14,14:22:55,1917.6,14:54:52,9.5
30,ID3776869477,1,8,6,-37.8158343,145.04645,-37.7908183,144.9857929,7471.0,2018-07-26,23:20:01,2192.7000000000007,23:56:33,21.28
31,ID1543556023,0,6,7,-37.7738026,144.98364660000001,-37.8618349,144.90571599999998,16033.0,2018-06-05,00:52:47,5323.559999999999,2:21:30,10.94
32,ID3865099183,1,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151.0,2018-07-26,00:01:47,4911.5999999999985,1:23:38,29.69
33,ID1203762277,0,9,5,-38.1109156,144.65417250000002,-37.8046445,144.93985969999997,43477.0,2018-04-04,16:15:30,10405.259999999998,19:08:55,25.34
34,ID1899407529,0,3,8,-37.8105551,145.0006641,-37.8158343,145.04645,4076.0,2018-06-12,10:46:02,1313.16,11:07:55,2.49
35,ID1526077076,0,4,5,-37.8010408,144.9982112,-37.7999032,144.927629,7540.0,2018-04-24,17:26:56,1872.0000000000007,17:58:08,10.22
36,ID3862383774,1,5,7,-37.812760600000004,144.9349737,-37.8618349,144.90571599999998,10697.0,2018-03-21,20:15:12,3465.0000000000005,21:12:57,21.26
37,ID3194241854,1,8,3,-37.8158343,145.04645,-37.819592799999995,145.00842649999998,4197.0,2018-06-27,21:32:39,1351.9200000000005,21:55:10,18.4
38,ID1441153390,0,9,4,-38.1109156,144.65417250000002,-37.801219,144.9929618,46954.0,2018-02-04,19:25:11,11320.800000000005,22:33:51,30.9
39,ID3507194884,1,8,7,-37.807202000000004,145.0266373,-37.8618349,144.90571599999998,13986.0,2018-03-25,05:39:10,4298.280000000002,6:50:48,31.38
40,ID1541019298,0,5,1,-37.802587,144.9349985,-37.800044299999996,144.9605432,3734.0,2018-01-15,20:57:08,917.88,21:12:25,8.65
41,ID3932360871,1,5,7,-37.804554100000004,144.9277419,-37.8618349,144.90571599999998,11433.0,2018-01-09,23:09:44,3707.52,0:11:31,28.36
42,ID1833845283,0,6,2,-37.7874325,144.9803767,-37.824593,144.9296182,9790.0,2018-05-21,15:22:45,2417.7,16:03:02,10.93
43,ID1856350286,0,6,1,-37.7874421,144.9804091,-37.8251658,144.95391659999999,5988.0,2018-05-26,18:47:14,1557.6600000000014,19:13:11,13.8
44,ID5874017164,2,4,6,-37.7987123,145.0034788,-37.773845,144.9836895,6802.0,2018-01-15,18:33:59,1510.0800000000006,18:59:09,114.21
45,ID1356346986,0,2,8,-37.8148583,144.9360023,-37.807202000000004,145.0266373,8854.0,2018-02-12,19:51:52,2246.1600000000008,20:29:18,11.64
46,ID3162785131,1,5,1,-37.8010331,144.92856719999997,-37.8107586,144.97710859999998,7053.0,2018-06-19,21:51:37,1845.12,22:22:22,20.73
