,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
0,ID3501840116,1,8.0,1.0,-37.8158343,145.04645,-37.800303799999995,144.9718336,7448.0,2018-02-01,01:17:26,2156.8199999999993,01:53:22,23.46
1,ID1393121718,0,5.0,7.0,-37.799614399999996,144.9327719,-37.8618349,144.90571599999998,12392.0,2018-06-22,14:09:42,3896.5200000000013,15:14:38,11.38
2,ID1314878251,0,6.0,3.0,-37.7907967,144.985865,-37.8118185,144.97518159999998,2988.0,2018-07-06,08:23:47,852.7799999999997,08:37:59,2.82
3,ID1404486339,0,7.0,8.0,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151.0,2018-03-05,12:20:20,4911.5999999999985,13:42:11,14.8
4,ID5960060344,2,5.0,6.0,-37.809426200000004,144.9288648,-37.7874421,144.9804091,6689.0,2018-04-26,12:20:43,1728.3600000000006,12:49:31,136.46
5,ID1398399581,0,7.0,2.0,-37.8618349,144.90571599999998,-37.8201771,144.9427589,9446.0,2018-05-28,14:38:52,3226.4400000000014,15:32:38,11.21
6,ID3428249873,1,9.0,1.0,-38.1109156,144.65417250000002,-37.818036799999994,144.964893,43586.0,2018-01-14,12:19:07,10497.95999999999,15:14:04,58.99
7,ID5261176554,2,1.0,7.0,-37.8116636,144.9652288,-37.8618349,144.90571599999998,8478.0,2018-07-15,19:26:16,2926.74,20:15:02,224.6
8,ID5670774661,2,8.0,1.0,-37.8158343,145.04645,-37.8138929,144.9592399,8062.0,2018-04-23,16:43:20,2325.7799999999993,17:22:05,176.02
9,ID1308823166,0,7.0,3.0,-37.8618349,144.90571599999998,-37.816975899999996,144.9693762,7911.0,2018-06-06,10:53:58,2754.42,11:39:52,4.73
10,ID3780031863,1,7.0,1.0,-37.8618349,144.90571599999998,-37.8131968,144.9512921,9080.0,2018-01-07,15:31:34,3058.8599999999988,16:22:32,26.61
11,ID1436170383,0,3.0,6.0,-37.816399600000004,144.9825983,-37.7874421,144.9804091,3545.0,2018-03-12,20:45:09,908.4600000000003,21:00:17,7.13
12,ID1804119838,0,1.0,8.0,-37.8121742,144.9381852,-37.807202000000004,145.0266373,9165.0,2018-04-23,00:01:20,2341.56,00:40:21,15.91
13,ID1421834807,0,2.0,9.0,-37.8152489,144.92772730000002,-38.1109156,144.65417250000002,44331.0,2018-06-12,09:59:38,10657.8,12:57:15,18.26
14,ID1386218520,0,2.0,7.0,-37.8210947,144.9268047,-37.8618349,144.90571599999998,10741.0,2018-02-06,16:07:14,3513.600000000001,17:05:47,12.02
15,ID3202577609,1,4.0,7.0,-37.8023074,144.9972956,-37.8618349,144.90571599999998,11508.0,2018-07-08,17:33:46,3736.9200000000014,18:36:02,30.1
16,ID3746013283,1,7.0,8.0,-37.8618349,144.90571599999998,-37.807202000000004,145.0266373,13986.0,2018-07-08,13:07:29,4292.399999999998,14:19:01,29.53
17,ID3189951976,1,5.0,2.0,-37.8163702,144.9286073,-37.822171000000004,144.9500743,3230.0,2018-02-21,19:43:54,742.1999999999997,19:56:16,12.43
18,ID1996539778,0,3.0,2.0,-37.8223726,144.9835773,-37.824418200000004,144.94836899999999,3543.0,2018-06-09,20:46:35,766.3199999999998,20:59:21,11.93
19,ID1447619795,0,4.0,6.0,-37.8034291,145.0029696,-37.7907967,144.985865,3025.0,2018-03-25,07:23:40,830.3999999999999,07:37:30,7.4
20,ID5851533409,2,8.0,2.0,-37.8158343,145.04645,-37.8128407,144.9398968,9719.0,2018-07-10,20:39:32,2756.9999999999986,21:25:29,204.54
21,ID3116900903,1,6.0,4.0,-37.7738026,144.98364660000001,-37.8065078,145.001584,9283.0,2018-05-02,03:59:10,2842.4999999999986,04:46:32,25.94
22,ID5886275296,2,8.0,3.0,-37.8158343,145.04645,-37.8169773,144.97688290000002,6881.0,2018-01-06,21:22:45,2006.6400000000006,21:56:11,169.99
23,ID1899848154,0,4.0,5.0,-37.8166969,145.0142424,-37.799037299999995,144.93262190000002,8606.0,2018-02-15,06:05:08,2130.7200000000007,06:40:38,5.69
24,ID1237309710,0,3.0,2.0,-37.8183744,144.9685475,-37.8128407,144.9398968,3378.0,2018-01-03,04:20:56,806.88,04:34:22,12.93
25,ID3168797568,1,2.0,3.0,-37.813115100000005,144.9386009,-37.8140381,144.9713121,4024.0,2018-01-07,22:51:24,1015.2600000000003,23:08:19,20.98
26,ID3905308350,1,1.0,8.0,-37.8088679,144.9664654,-37.8158343,145.04645,7139.0,2018-02-01,21:54:30,2067.6,22:28:57,22.49
27,ID5541874337,2,1.0,3.0,-37.8114157,144.9730729,-37.8173465,145.00549730000003,3351.0,2018-01-04,05:22:25,821.1600000000003,05:36:06,84.9
28,ID5897208891,2,5.0,9.0,-37.8092777,144.9291463,-38.1109156,144.65417250000002,43421.0,2018-07-24,11:37:16,10400.7,14:30:36,705.08
